original_word1,original_word2,normalized_word1,normalized_word2,category,present_in_word2vec,present_in_fasttext,cosine_word2vec,cosine_fasttext,skip_reason
kitob,asar,kitob,asar,related,0,1,,,oov_word2vec
talaba,o'quvchi,talaba,o'quvchi,related,1,1,,0.999797,used
maktab,ta'lim,maktab,ta'lim,related,0,1,,,oov_word2vec
kompyuter,texnologiya,kompyuter,texnologiya,related,1,1,,0.998205,used
yaxshi,zo'r,yaxshi,zo'r,related,1,1,,-0.086887,used
yomon,salbiy,yomon,salbiy,related,0,1,,,oov_word2vec
daraxt,barg,daraxt,barg,related,0,1,,,oov_word2vec
barg,yaproq,barg,yaproq,related,0,1,,,oov_word2vec
shahar,qishloq,shahar,qishloq,related,1,1,0.997509,0.998856,used
ilm,fan,ilm,fan,related,0,1,,,oov_word2vec
ta'lim,o'qitish,ta'lim,o'qitish,related,0,1,,,oov_word2vec
o'qituvchi,ustoz,o'qituvchi,ustoz,related,0,1,,,oov_word2vec
muallif,yozuvchi,muallif,yozuvchi,related,1,1,,0.999847,used
dastur,ilova,dastur,ilova,related,0,1,,,oov_word2vec
internet,tarmoq,internet,tarmoq,related,1,1,0.998074,0.999899,used
ma'lumot,axborot,ma'lumot,axborot,related,0,1,,,oov_word2vec
inson,odam,inson,odam,related,1,1,,0.999732,used
avtomobil,mashina,avtomobil,mashina,related,0,1,,,oov_word2vec
telefon,mobil,telefon,mobil,related,0,1,,,oov_word2vec
laboratoriya,tajriba,laboratoriya,tajriba,related,0,1,,,oov_word2vec
kitoblarni,asarda,kitoblarni,asarda,related,0,1,,,oov_word2vec
kitoblarni,asarning,kitoblarni,asarning,related,0,1,,,oov_word2vec
kitoblarni,asarlarimiz,kitoblarni,asarlarimiz,related,0,1,,,oov_word2vec
kitoblarni,asarga,kitoblarni,asarga,related,0,1,,,oov_word2vec
kitoblarni,asar,kitoblarni,asar,related,0,1,,,oov_word2vec
kitoblarni,asarlarni,kitoblarni,asarlarni,related,0,1,,,oov_word2vec
kitoblarni,asardan,kitoblarni,asardan,related,0,1,,,oov_word2vec
kitoblarni,asarimiz,kitoblarni,asarimiz,related,0,1,,,oov_word2vec
kitoblarni,asarlar,kitoblarni,asarlar,related,0,1,,,oov_word2vec
kitoblar,asarda,kitoblar,asarda,related,0,1,,,oov_word2vec
kitoblar,asarning,kitoblar,asarning,related,0,1,,,oov_word2vec
kitoblar,asarlarimiz,kitoblar,asarlarimiz,related,0,1,,,oov_word2vec
kitoblar,asarga,kitoblar,asarga,related,0,1,,,oov_word2vec
kitoblar,asar,kitoblar,asar,related,0,1,,,oov_word2vec
kitoblar,asarlarni,kitoblar,asarlarni,related,0,1,,,oov_word2vec
kitoblar,asardan,kitoblar,asardan,related,0,1,,,oov_word2vec
kitoblar,asarimiz,kitoblar,asarimiz,related,0,1,,,oov_word2vec
kitoblar,asarlar,kitoblar,asarlar,related,0,1,,,oov_word2vec
kitobning,asarda,kitobning,asarda,related,0,1,,,oov_word2vec
kitobning,asarning,kitobning,asarning,related,0,1,,,oov_word2vec
kitob,kitoblar,kitob,kitoblar,morphological,0,1,,,oov_word2vec
talaba,talabalar,talaba,talabalar,morphological,1,1,0.997809,0.999906,used
ilm,ilmiy,ilm,ilmiy,morphological,0,1,,,oov_word2vec
maktab,maktabda,maktab,maktabda,morphological,0,1,,,oov_word2vec
dastur,dasturchi,dastur,dasturchi,morphological,0,1,,,oov_word2vec
ma'lumot,ma'lumotlar,ma'lumot,ma'lumotlar,morphological,0,1,,,oov_word2vec
o'qituvchi,o'qituvchilar,o'qituvchi,o'qituvchilar,morphological,0,1,,,oov_word2vec
ta'lim,ta'limiy,ta'lim,ta'limiy,morphological,0,1,,,oov_word2vec
sun'iy,suniy,sun'iy,suniy,morphological,0,1,,,oov_word2vec
intellekt,intellektual,intellekt,intellektual,morphological,1,1,0.994315,0.999916,used
kitoblarni,kitoblarlarni,kitoblarni,kitoblarlarni,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblarga,kitoblarni,kitoblarga,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblarda,kitoblarni,kitoblarda,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblar,kitoblarni,kitoblar,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblardan,kitoblarni,kitoblardan,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblarlar,kitoblarni,kitoblarlar,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblarlarimiz,kitoblarni,kitoblarlarimiz,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblarimiz,kitoblarni,kitoblarimiz,morphological,0,1,,,oov_word2vec
kitoblarni,kitoblarning,kitoblarni,kitoblarning,morphological,0,1,,,oov_word2vec
kitoblar,kitoblarlarni,kitoblar,kitoblarlarni,morphological,0,1,,,oov_word2vec
kitob,kompyuter,kitob,kompyuter,unrelated,0,1,,,oov_word2vec
talaba,mashina,talaba,mashina,unrelated,1,1,,0.999725,used
maktab,o'simlik,maktab,o'simlik,unrelated,0,1,,,oov_word2vec
yaxshi,telefon,yaxshi,telefon,unrelated,1,1,,0.998685,used
daraxt,server,daraxt,server,unrelated,0,1,,,oov_word2vec
shahar,dengiz,shahar,dengiz,unrelated,1,1,,0.99813,used
ilm,muzika,ilm,muzika,unrelated,0,1,,,oov_word2vec
ta'lim,ovqat,ta'lim,ovqat,unrelated,0,1,,,oov_word2vec
ma'lumot,meva,ma'lumot,meva,unrelated,0,1,,,oov_word2vec
inson,kompyuter,inson,kompyuter,unrelated,1,1,0.998791,0.99972,used
kasb,rang,kasb,rang,unrelated,1,1,,0.999816,used
taqdim,yomg'ir,taqdim,yomg'ir,unrelated,1,1,,0.999699,used
kitoblarni,kompyuterlarni,kitoblarni,kompyuterlarni,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuterimiz,kitoblarni,kompyuterimiz,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuterga,kitoblarni,kompyuterga,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuterdan,kitoblarni,kompyuterdan,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuterda,kitoblarni,kompyuterda,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuterlarimiz,kitoblarni,kompyuterlarimiz,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuter,kitoblarni,kompyuter,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuterning,kitoblarni,kompyuterning,unrelated,0,1,,,oov_word2vec
kitoblarni,kompyuterlar,kitoblarni,kompyuterlar,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterlarni,kitoblar,kompyuterlarni,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterimiz,kitoblar,kompyuterimiz,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterga,kitoblar,kompyuterga,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterdan,kitoblar,kompyuterdan,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterda,kitoblar,kompyuterda,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterlarimiz,kitoblar,kompyuterlarimiz,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuter,kitoblar,kompyuter,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterning,kitoblar,kompyuterning,unrelated,0,1,,,oov_word2vec
kitoblar,kompyuterlar,kitoblar,kompyuterlar,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterlarni,kitobning,kompyuterlarni,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterimiz,kitobning,kompyuterimiz,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterga,kitobning,kompyuterga,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterdan,kitobning,kompyuterdan,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterda,kitobning,kompyuterda,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterlarimiz,kitobning,kompyuterlarimiz,unrelated,0,1,,,oov_word2vec
kitobning,kompyuter,kitobning,kompyuter,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterning,kitobning,kompyuterning,unrelated,0,1,,,oov_word2vec
kitobning,kompyuterlar,kitobning,kompyuterlar,unrelated,0,1,,,oov_word2vec
kitobda,kompyuterlarni,kitobda,kompyuterlarni,unrelated,0,1,,,oov_word2vec
